POR,Win,MIA
TOR,Win,CHA
ATL,Win,UTA
BOS,Win,HOU
BKN,Win,PHO
NY,Loss,CHI
MEM,Win,SA
NO,Win,MIN
MIL,Loss,DET
DEN,Win,CLE
LAL,Loss,OKC
GS,Win,POR
LAC,Loss,ORL
IND,Win,CHA
WAS,Win,ATL
DET,Loss,UTA
PHI,Win,HOU
CHI,Loss,PHO
DAL,Win,MEM
SAC,Loss,MIA
NY,Win,NO
TOR,Loss,MIL
BKN,Win,IND
SA,Win,MIN
DEN,Win,GS
POR,Loss,OKC
LAL,Win,CLE
WAS,Win,ORL
BOS,Win,CHA
MEM,Loss,LAC
CHI,Win,ATL
DAL,Win,MIN
UTA,Win,MIA
PHO,Loss,OKC
SAC,Win,CLE
PHI,Loss,NO
CHA,Loss,IND
BKN,Win,TOR
HOU,Loss,LAC
DEN,Win,POR
LAL,Win,MIL
TOR,Loss,CHI
ORL,Win,IND
ATL,Win,BKN
BOS,Loss,NO
OKC,Win,DEN
SA,Win,MEM
DAL,Win,HOU
POR,Loss,CLE
SAC,Win,WAS
GS,Loss,MIA
DET,Loss,NY
MIN,Loss,LAC
PHO,Loss,MIL
LAL,Loss,MIA
ORL,Loss,CHA
BOS,Loss,CHI
PHI,Win,TOR
IND,Win,HOU
BKN,Win,ATL
MEM,Win,SAC
SA,Win,GS
DEN,Loss,WAS
DAL,Loss,OKC
CHA,Loss,SAC
ATL,Loss,SA
CHI,Loss,MEM
MIN,Win,HOU
NO,Loss,GS
UTA,Win,CLE
POR,Loss,MIL
LAC,Win,WAS
TOR,Win,LAL
ORL,Loss,DAL
DET,Win,BOS
DEN,Win,OKC
NO,Win,SAC
MEM,Loss,IND
CHA,Loss,HOU
ATL,Win,MIN
NY,Loss,BKN
GS,Win,LAC
PHI,Loss,SA
CHI,Win,LAL
POR,Loss,WAS
CLE,Win,BOS
DET,Win,ORL
