HOU,Home,Win,MIA,Away
TOR,Away,Win,PHO,Home
PHO,Home,Loss,TOR,Away
MIL,Away,Loss,POR,Home
POR,Home,Win,MIL,Away
MIN,Away,Loss,LAL,Home
LAL,Home,Win,MIN,Away
CLE,Away,Loss,CHA,Home
CHA,Home,Win,CLE,Away
ATL,Away,Win,PHI,Home
PHI,Home,Loss,ATL,Away
DET,Away,Loss,BOS,Home
BOS,Home,Win,DET,Away
IND,Away,Win,BKN,Home
BKN,Home,Loss,IND,Away
ORL,Away,Loss,OKC,Home
OKC,Home,Win,ORL,Away
GS,Away,Win,WAS,Home
WAS,Home,Loss,GS,Away
MIA,Away,Win,DAL,Home
DAL,Home,Loss,MIA,Away
NO,Away,Loss,SA,Home
SA,Home,Win,NO,Away
DEN,Away,Loss,UTA,Home
UTA,Home,Win,DEN,Away
CHI,Away,Win,SAC,Home
SAC,Home,Loss,CHI,Away
MIN,Away,Win,LAC,Home
LAC,Home,Loss,MIN,Away
NY,Away,Loss,DET,Home
DET,Home,Win,NY,Away
LAL,Away,Win,NO,Home
NO,Home,Loss,LAL,Away
TOR,Away,Win,POR,Home
POR,Home,Loss,TOR,Away
HOU,Away,Win,PHO,Home
PHO,Home,Loss,HOU,Away
IND,Away,Loss,ATL,Home
ATL,Home,Win,IND,Away
MIA,Away,Win,CHA,Home
CHA,Home,Loss,MIA,Away
LAC,Away,Win,ORL,Home
ORL,Home,Loss,LAC,Away
PHI,Away,Loss,WAS,Home
WAS,Home,Win,PHI,Away
SAC,Away,Loss,BKN,Home
BKN,Home,Win,SAC,Away
BOS,Away,Win,CLE,Home
CLE,Home,Loss,BOS,Away
MEM,Away,Win,NY,Home
NY,Home,Loss,MEM,Away
CHI,Away,Loss,DEN,Home
DEN,Home,Win,CHI,Away
MIL,Away,Loss,UTA,Home
UTA,Home,Win,MIL,Away
SA,Away,Win,DAL,Home
DAL,Home,Loss,SA,Away
POR,Away,Win,HOU,Home
HOU,Home,Loss,POR,Away
WAS,Away,Loss,CHA,Home
CHA,Home,Win,WAS,Away
DET,Away,Loss,IND,Home
IND,Home,Win,DET,Away
NO,Away,Loss,CLE,Home
CLE,Home,Win,NO,Away
BKN,Away,Loss,PHI,Home
PHI,Home,Win,BKN,Away
DAL,Away,Win,MEM,Home
MEM,Home,Loss,DAL,Away
CHI,Away,Loss,MIN,Home
MIN,Home,Win,CHI,Away
LAL,Away,Loss,SA,Home
SA,Home,Win,LAL,Away
OKC,Away,Loss,GS,Home
GS,Home,Win,OKC,Away
UTA,Away,Win,PHO,Home
PHO,Home,Loss,UTA,Away
SAC,Away,Loss,BOS,Home
BOS,Home,Win,SAC,Away
DEN,Away,Win,NY,Home
NY,Home,Loss,DEN,Away
ATL,Away,Loss,ORL,Home
ORL,Home,Win,ATL,Away
LAC,Away,Win,MIA,Home
MIA,Home,Loss,LAC,Away
CHI,Away,Loss,CHA,Home
CHA,Home,Win,CHI,Away
SAC,Away,Loss,CLE,Home
CLE,Home,Win,SAC,Away
LAL,Away,Loss,IND,Home
